Model,Precision,Recall,F2,PR_AUC,ROC_AUC,Train_AUC,Valid_AUC
XGBoost,0.8301684001739207,0.896258907050217,0.8822121549737872,0.9331323099409616,0.9657980280406606,0.9704140774830528,0.9657980280406606
LightGBM,0.8244219653179191,0.8966861289999314,0.8812372745707047,0.9306506429937227,0.9646552766967107,0.9662463981563277,0.9646552766967107
CatBoost,0.8250901697831038,0.8904413044510198,0.8765558119297779,0.9276729624518428,0.9629903912858852,0.9635263107739399,0.9629903912858852
